# X-Filed  Y-Field    Wavelength  X-Coord Y-Coord     Rays-thru
# (min)    (min)      (micron)    (mm)         (mm)           %
1.04    -1.50   0.32080     -19.59565       -57.53187       99.05
1.04    -1.50   0.32350     -19.58887       -55.51981       99.68
1.04    -1.50   0.32620     -19.58234       -53.50797       100.00
1.04    -1.50   0.32890     -19.57606       -51.49629       100.00
1.04    -1.50   0.33160     -19.57003       -49.48472       100.00
1.04    -1.50   0.33430     -19.56425       -47.47314       100.00
1.04    -1.50   0.33700     -19.55871       -45.46148       100.00
1.04    -1.50   0.33970     -19.55342       -43.44967       100.00
1.04    -1.50   0.34240     -19.54837       -41.43762       100.00
1.04    -1.50   0.34510     -19.54358       -39.42528       100.00
1.04    -1.50   0.34780     -19.53902       -37.41255       100.00
1.04    -1.50   0.35050     -19.53472       -35.39937       100.00
1.04    -1.50   0.35320     -19.53066       -33.38565       100.00
1.04    -1.50   0.35590     -19.52684       -31.37132       100.00
1.04    -1.50   0.35860     -19.52328       -29.35630       100.00
1.04    -1.50   0.36130     -19.51995       -27.34051       100.00
1.04    -1.50   0.36400     -19.51688       -25.32388       100.00
1.04    -1.50   0.36670     -19.51405       -23.30633       100.00
1.04    -1.50   0.36940     -19.51147       -21.28777       100.00
1.04    -1.50   0.37210     -19.50914       -19.26812       100.00
1.04    -1.50   0.37480     -19.50705       -17.24732       100.00
1.04    -1.50   0.37750     -19.50521       -15.22527       100.00
1.04    -1.50   0.38020     -19.50362       -13.20190       100.00
1.04    -1.50   0.38290     -19.50227       -11.17712       100.00
1.04    -1.50   0.38560     -19.50117       -9.15086        100.00
1.04    -1.50   0.38830     -19.50032       -7.12304        100.00
1.04    -1.50   0.39100     -19.49972       -5.09356        100.00
1.04    -1.50   0.39370     -19.49937       -3.06235        100.00
1.04    -1.50   0.39640     -19.49926       -1.02933        100.00
1.04    -1.50   0.39910     -19.49940       1.00558     100.00
1.04    -1.50   0.40180     -19.49980       3.04248     100.00
1.04    -1.50   0.40450     -19.50044       5.08144     100.00
1.04    -1.50   0.40720     -19.50133       7.12255     100.00
1.04    -1.50   0.40990     -19.50247       9.16589     100.00
1.04    -1.50   0.41260     -19.50385       11.21155        100.00
1.04    -1.50   0.41530     -19.50549       13.25961        100.00
1.04    -1.50   0.41800     -19.50738       15.31015        100.00
1.04    -1.50   0.42070     -19.50952       17.36327        100.00
1.04    -1.50   0.42340     -19.51191       19.41905        100.00
1.04    -1.50   0.42610     -19.51455       21.47758        100.00
1.04    -1.50   0.42880     -19.51744       23.53894        100.00
1.04    -1.50   0.43150     -19.52058       25.60322        100.00
1.04    -1.50   0.43420     -19.52397       27.67051        100.00
1.04    -1.50   0.43690     -19.52761       29.74089        100.00
1.04    -1.50   0.43960     -19.53150       31.81446        100.00
1.04    -1.50   0.44230     -19.53565       33.89129        100.00
1.04    -1.50   0.44500     -19.54004       35.97149        100.00
1.04    -1.50   0.44770     -19.54468       38.05514        100.00
1.04    -1.50   0.45040     -19.54958       40.14232        100.00
1.04    -1.50   0.45310     -19.55472       42.23313        100.00
1.04    -1.50   0.45580     -19.56012       44.32765        100.00
1.04    -1.50   0.45850     -19.56576       46.42597        100.00
1.04    -1.50   0.46120     -19.57166       48.52819        100.00
1.04    -1.50   0.46390     -19.57777       50.63437        100.00
1.04    -1.50   0.46660     -19.58415       52.74462        99.68
1.04    -1.50   0.46930     -19.59077       54.85904        99.05
1.04    -1.50   0.47200     -19.59763       56.97769        99.05
1.04    -1.50   0.47470     -19.60475       59.10068        98.42
1.04    -1.50   0.47740     -19.61210       61.22810        98.42
1.04    -1.50   0.48010     -19.61971       63.36003        98.42
1.04    -1.50   0.48280     -19.62756       65.49657        98.42
1.04    -1.50   0.48550     -19.63566       67.63779        98.11
1.04    -1.50   0.48820     -19.64401       69.78380        97.79
1.04    -1.50   0.49090     -19.65258       71.93467        97.48
1.04    -1.50   0.49360     -19.66141       74.09049        97.16
1.04    -1.50   0.49630     -19.67047       76.25135        97.16
1.04    -1.50   0.49900     -19.67978       78.41733        96.21
1.04    -1.50   0.50170     -19.68932       80.58850        94.64
1.04    -1.50   0.50440     -19.69910       82.76497        94.32
1.04    -1.50   0.50710     -19.70910       84.94679        94.01
1.04    -1.50   0.50980     -19.71934       87.13407        93.69
1.04    -1.50   0.51250     -19.72981       89.32683        93.06
1.04    -1.50   0.51520     -19.74050       91.52521        93.06
1.04    -1.50   0.51790     -19.75140       93.72923        92.43
1.04    -1.50   0.52060     -19.76252       95.93897        91.80
1.04    -1.50   0.52330     -19.77386       98.15451        91.80
1.04    -1.50   0.52600     -19.78540       100.37588       90.85
1.04    -1.50   0.52870     -19.79715       102.60320       89.59
1.04    -1.50   0.53140     -19.80910       104.83648       88.64
1.04    -1.50   0.53410     -19.82123       107.07579       88.01
1.04    -1.50   0.53680     -19.83354       109.32119       87.70
1.04    -1.50   0.53950     -19.84605       111.57267       86.75
1.04    -1.50   0.54220     -19.85873       113.83033       86.12
1.04    -1.50   0.54490     -19.87156       116.09412       83.91
1.04    -1.50   0.54760     -19.88454       118.36405       83.91
1.04    -1.50   0.55030     -19.89766       120.64019       82.97
1.04    -1.50   0.55300     -19.91092       122.92248       82.02
1.04    -1.50   0.55570     -19.92432       125.21096       80.76
1.04    -1.50   0.55840     -19.93781       127.50559       78.55
2.08    -1.50   0.31000     -39.25677       -65.24994       96.21
2.08    -1.50   0.31270     -39.24144       -63.23318       96.53
2.08    -1.50   0.31540     -39.22660       -61.21691       96.85
2.08    -1.50   0.31810     -39.21226       -59.20104       97.16
2.08    -1.50   0.32080     -39.19842       -57.18554       97.48
2.08    -1.50   0.32350     -39.18506       -55.17026       97.48
2.08    -1.50   0.32620     -39.17222       -53.15522       97.79
2.08    -1.50   0.32890     -39.15986       -51.14028       98.42
2.08    -1.50   0.33160     -39.14799       -49.12536       98.42
2.08    -1.50   0.33430     -39.13662       -47.11043       98.42
2.08    -1.50   0.33700     -39.12573       -45.09538       98.42
2.08    -1.50   0.33970     -39.11533       -43.08013       98.42
2.08    -1.50   0.34240     -39.10544       -41.06465       99.05
2.08    -1.50   0.34510     -39.09602       -39.04882       99.05
2.08    -1.50   0.34780     -39.08709       -37.03256       99.05
2.08    -1.50   0.35050     -39.07866       -35.01585       99.37
2.08    -1.50   0.35320     -39.07071       -32.99856       99.68
2.08    -1.50   0.35590     -39.06325       -30.98061       99.68
2.08    -1.50   0.35860     -39.05628       -28.96196       100.00
2.08    -1.50   0.36130     -39.04980       -26.94252       100.00
2.08    -1.50   0.36400     -39.04381       -24.92221       100.00
2.08    -1.50   0.36670     -39.03830       -22.90093       100.00
2.08    -1.50   0.36940     -39.03328       -20.87863       100.00
2.08    -1.50   0.37210     -39.02875       -18.85521       100.00
2.08    -1.50   0.37480     -39.02470       -16.83060       100.00
2.08    -1.50   0.37750     -39.02115       -14.80472       100.00
2.08    -1.50   0.38020     -39.01808       -12.77749       100.00
2.08    -1.50   0.38290     -39.01550       -10.74883       100.00
2.08    -1.50   0.38560     -39.01342       -8.71866        100.00
2.08    -1.50   0.38830     -39.01182       -6.68690        100.00
2.08    -1.50   0.39100     -39.01072       -4.65346        100.00
2.08    -1.50   0.39370     -39.01011       -2.61827        100.00
2.08    -1.50   0.39640     -39.00999       -0.58124        100.00
2.08    -1.50   0.39910     -39.01036       1.45771     100.00
2.08    -1.50   0.40180     -39.01123       3.49867     100.00
2.08    -1.50   0.40450     -39.01259       5.54171     100.00
2.08    -1.50   0.40720     -39.01445       7.58692     100.00
2.08    -1.50   0.40990     -39.01680       9.63438     100.00
2.08    -1.50   0.41260     -39.01965       11.68418        100.00
2.08    -1.50   0.41530     -39.02300       13.73641        100.00
2.08    -1.50   0.41800     -39.02684       15.79115        100.00
2.08    -1.50   0.42070     -39.03117       17.84847        100.00
2.08    -1.50   0.42340     -39.03601       19.90848        100.00
2.08    -1.50   0.42610     -39.04134       21.97126        100.00
2.08    -1.50   0.42880     -39.04717       24.03689        100.00
2.08    -1.50   0.43150     -39.05349       26.10545        100.00
2.08    -1.50   0.43420     -39.06032       28.17705        100.00
2.08    -1.50   0.43690     -39.06764       30.25175        100.00
2.08    -1.50   0.43960     -39.07541       32.32965        99.68
2.08    -1.50   0.44230     -39.08370       34.41084        99.37
2.08    -1.50   0.44500     -39.09249       36.49540        99.05
2.08    -1.50   0.44770     -39.10178       38.58342        99.05
2.08    -1.50   0.45040     -39.11152       40.67499        99.05
2.08    -1.50   0.45310     -39.12179       42.77020        98.74
2.08    -1.50   0.45580     -39.13257       44.86914        98.42
2.08    -1.50   0.45850     -39.14379       46.97188        98.42
2.08    -1.50   0.46120     -39.15554       49.07854        98.42
2.08    -1.50   0.46390     -39.16779       51.18918        98.42
2.08    -1.50   0.46660     -39.18050       53.30390        98.11
2.08    -1.50   0.46930     -39.19372       55.42279        97.79
2.08    -1.50   0.47200     -39.20744       57.54594        97.48
2.08    -1.50   0.47470     -39.22163       59.67343        97.16
2.08    -1.50   0.47740     -39.23632       61.80535        96.85
2.08    -1.50   0.48010     -39.25148       63.94179        96.53
2.08    -1.50   0.48280     -39.26713       66.08284        96.53
2.08    -1.50   0.48550     -39.28326       68.22857        95.90
2.08    -1.50   0.48820     -39.29987       70.37908        95.27
2.08    -1.50   0.49090     -39.31696       72.53445        95.27
2.08    -1.50   0.49360     -39.33451       74.69477        94.95
2.08    -1.50   0.49630     -39.35254       76.86010        94.95
2.08    -1.50   0.49900     -39.37103       79.03054        94.01
2.08    -1.50   0.50170     -39.38998       81.20617        92.74
2.08    -1.50   0.50440     -39.40939       83.38705        92.43
2.08    -1.50   0.50710     -39.42924       85.57328        91.80
2.08    -1.50   0.50980     -39.44954       87.76490        91.80
2.08    -1.50   0.51250     -39.47028       89.96201        90.85
2.08    -1.50   0.51520     -39.49143       92.16466        90.54
2.08    -1.50   0.51790     -39.51302       94.37294        90.54
2.08    -1.50   0.52060     -39.53501       96.58690        89.91
2.08    -1.50   0.52330     -39.55741       98.80658        89.59
2.08    -1.50   0.52600     -39.58019       101.03208       88.64
2.08    -1.50   0.52870     -39.60335       103.26345       87.70
2.08    -1.50   0.53140     -39.62689       105.50071       86.12
2.08    -1.50   0.53410     -39.65076       107.74391       85.49
2.08    -1.50   0.53680     -39.67500       109.99308       85.17
2.08    -1.50   0.53950     -39.69954       112.24823       84.23
2.08    -1.50   0.54220     -39.72440       114.50938       83.28
2.08    -1.50   0.54490     -39.74954       116.77656       80.76
2.08    -1.50   0.54760     -39.77495       119.04978       80.44
2.08    -1.50   0.55030     -39.80061       121.32903       79.81
2.08    -1.50   0.55300     -39.82652       123.61430       78.86
2.08    -1.50   0.55570     -39.85260       125.90560       77.60
2.08    -1.50   0.55840     -39.87889       128.20287       75.08
3.11    -1.50   0.31000     -58.87545       -64.70307       92.74
3.11    -1.50   0.31270     -58.85318       -62.68148       93.06
3.11    -1.50   0.31540     -58.83162       -60.66028       93.69
3.11    -1.50   0.31810     -58.81077       -58.63943       93.69
3.11    -1.50   0.32080     -58.79065       -56.61880       94.01
3.11    -1.50   0.32350     -58.77124       -54.59840       94.32
3.11    -1.50   0.32620     -58.75256       -52.57811       94.64
3.11    -1.50   0.32890     -58.73458       -50.55783       94.95
3.11    -1.50   0.33160     -58.71733       -48.53756       95.27
3.11    -1.50   0.33430     -58.70078       -46.51718       95.27
3.11    -1.50   0.33700     -58.68496       -44.49660       95.27
3.11    -1.50   0.33970     -58.66985       -42.47581       95.90
3.11    -1.50   0.34240     -58.65545       -40.45469       95.90
3.11    -1.50   0.34510     -58.64177       -38.43314       96.21
3.11    -1.50   0.34780     -58.62882       -36.41118       96.21
3.11    -1.50   0.35050     -58.61658       -34.38866       96.21
3.11    -1.50   0.35320     -58.60504       -32.36550       96.85
3.11    -1.50   0.35590     -58.59424       -30.34166       97.16
3.11    -1.50   0.35860     -58.58415       -28.31703       97.48
3.11    -1.50   0.36130     -58.57478       -26.29158       97.48
3.11    -1.50   0.36400     -58.56612       -24.26520       97.79
3.11    -1.50   0.36670     -58.55819       -22.23781       97.79
3.11    -1.50   0.36940     -58.55098       -20.20934       97.79
3.11    -1.50   0.37210     -58.54450       -18.17971       97.79
3.11    -1.50   0.37480     -58.53874       -16.14885       97.79
3.11    -1.50   0.37750     -58.53369       -14.11669       98.11
3.11    -1.50   0.38020     -58.52937       -12.08313       98.11
3.11    -1.50   0.38290     -58.52577       -10.04810       97.79
3.11    -1.50   0.38560     -58.52290       -8.01151        97.79
3.11    -1.50   0.38830     -58.52076       -5.97329        98.11
3.11    -1.50   0.39100     -58.51934       -3.93336        98.11
3.11    -1.50   0.39370     -58.51865       -1.89164        98.74
3.11    -1.50   0.39640     -58.51868       0.15197     98.42
3.11    -1.50   0.39910     -58.51944       2.19752     98.42
3.11    -1.50   0.40180     -58.52093       4.24512     98.42
3.11    -1.50   0.40450     -58.52315       6.29484     98.42
3.11    -1.50   0.40720     -58.52610       8.34677     98.42
3.11    -1.50   0.40990     -58.52978       10.40098        98.42
